Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
KP,KP HAE,Haeju,Haeju,05,1-------,,,
KP,KP HGM,Hungnam,Hungnam,08,1-------,,,
KP,KP NAM,Nampo,Nampo,14,123-----,,,
KP,KP ODA,Odaejin,Odaejin,,1-------,,41.38333333333333,129.75
KP,KP RJN,Rajin (Najin),Rajin (Najin),13,123-----,,42.21666666666667,130.28333333333333
KP,KP RIW,Riwon,Riwon,,1-------,,40.31666666666667,128.63333333333333
KP,KP SAM,Samcha do,Samcha do,,1-------,,39.4,124.71666666666667
KP,KP SIN,Sinpo,Sinpo,,1-------,,40.06666666666667,128.26666666666668
KP,KP SON,Songjin,Songjin,,1-------,,,
KP,KP SGN,Songnim,Songnim,06,1-------,,38.766666666666666,125.58333333333333
KP,KP TCH,Tanchon,Tanchon,08,1-------,,40.416666666666664,128.93333333333334
KP,KP WON,Wonsan,Wonsan,07,1-------,,,
KR,KR AWL,Aewol,Aewol,49,1-------,,33.45,126.31666666666666
KR,KR ANJ,Anjeong,Anjeong,48,1-------,,34.95,128.43333333333334
KR,KR BIN,Biin,Biin,44,1-------,,36.11666666666667,126.48333333333333
KR,KR BOR,Boryeong,Boryeong,44,123-----,,36.31666666666667,126.5
KR,KR BUK,Bupyong/Incheon,Bupyong/Incheon,28,123-----,,37.5,129.13333333333333
KR,KR PUS,Busan,Busan,26,1234567-,,35.13333333333333,129.05
KR,KR BNP,Busan New Port,Busan New Port,26,1-------,,35.083333333333336,128.81666666666666
KR,KR BJG,Busanjin-Gu,Busanjin-Gu,26,1-3-----,,35.15,129.05
KR,KR CJA,Chuja,Chuja,49,1-------,,33.95,126.3
KR,KR CGY,Chungyang,Chungyang,30,1-------,,,
KR,KR DBL,Daebul/Yeongam-gun,Daebul/Yeongam-gun,46,123-----,,34.75,126.43333333333334
KR,KR DCN,Daecheon,Daecheon,44,1-------,,36.31666666666667,126.5
KR,KR DHS,Daeheuksando,Daeheuksando,46,1-------,,34.68333333333333,125.43333333333334
KR,KR TSN,Daesan/Seosan,Daesan/Seosan,44,1-------,,37.0,126.36666666666666
KR,KR TJI,Dangjin,Dangjin,44,1-3-----,,36.96666666666667,126.78333333333333
KR,KR DDO,Dokdo,Dokdo,47,1-------,,37.233333333333334,131.85
KR,KR TGH,Donghae,Donghae,42,123-----,,37.483333333333334,129.11666666666667
KR,KR GGH,Gageohyangri,Gageohyangri,46,1-------,,34.06666666666667,125.08333333333333
KR,KR GDO,Galdoo,Galdoo,46,1-------,,34.3,126.51666666666667
KR,KR KCN,Gamcheon/Busan,Gamcheon/Busan,26,1-------,,35.083333333333336,129.0
KR,KR GGU,Ganggu,Ganggu,46,1-------,,36.35,129.38333333333333
KR,KR KJE,Geoje,Geoje,48,1-3-----,,34.85,128.58333333333334
KR,KR GMD,Geomundo,Geomundo,46,1-------,,34.016666666666666,127.3
KR,KR KHN,Gohyeon/Geoje,Gohyeon/Geoje,48,1-------,,34.88333333333333,128.61666666666667
KR,KR KUV,Gunsan,Gunsan,45,1234----,,35.983333333333334,126.71666666666667
KR,KR GRP,Guryongpo,Guryongpo,47,1-------,,35.983333333333334,129.55
KR,KR KAN,Gwangyang,Gwangyang,46,123-----,,34.93333333333333,127.7
KR,KR GIN,Gyeongin,Gyeongin,28,1-------,,37.53333333333333,126.6
KR,KR HLM,Hallim,Hallim,49,1-------,,33.416666666666664,126.25
KR,KR HAR,Haryana,Haryana,26,1-------,,,
KR,KR HDO,Hongdo,Hongdo,46,1-------,,34.65,125.18333333333334
KR,KR HAS,Hosan,Hosan,42,1-------,,37.166666666666664,129.35
KR,KR HPO,Hupo,Hupo,47,1-------,,36.666666666666664,129.45
KR,KR HHP,Hwahungpo,Hwahungpo,46,1-------,,34.3,126.66666666666667
KR,KR HSN,Hwasun,Hwasun,49,123-----,,33.233333333333334,126.33333333333333
KR,KR INC,Incheon,Incheon,28,123-----,ICN,37.45,126.61666666666666
KR,KR CHG,Janghang/Seocheon-gun,Janghang/Seocheon-gun,44,1-------,,36.0,126.68333333333334
KR,KR CHA,Jeju,Jeju,49,1-34----,CJU,33.5,126.51666666666667
KR,KR CHF,Jinhae,Jinhae,48,1234----,,35.13333333333333,128.65
KR,KR JMJ,Jumunjin,Jumunjin,42,1-------,,37.88333333333333,128.83333333333334
KR,KR JHA,Junghwa,Junghwa,48,1-------,,34.78333333333333,128.36666666666667
KR,KR KDO,Kukdo,Kukdo,47,1-------,,34.53333333333333,128.43333333333334
KR,KR KWA,Kwangyang,Kwangyang,49,1-------,,33.5,126.53333333333333
KR,KR MAS,Masan,Masan,48,123-----,QMS,35.2,128.56666666666666
KR,KR MIP,Mipo/Ulsan,Mipo/Ulsan,31,1-3-----,,35.516666666666666,129.43333333333334
KR,KR MOK,Mokpo,Mokpo,46,123-----,MPK,34.8,126.38333333333334
KR,KR MUK,Mukho/Donghae,Mukho/Donghae,42,123-----,,37.53333333333333,129.1
KR,KR NRD,Narodo,Narodo,46,1-------,,34.38333333333333,127.25
KR,KR NDS,Nokdongsin,Nokdongsin,46,1-------,,34.516666666666666,127.13333333333334
KR,KR OKK,Okgye/Gangneung,Okgye/Gangneung,42,12------,,37.6,129.03333333333333
KR,KR OKP,Okpo/Geoje,Okpo/Geoje,48,1-3-----,,34.88333333333333,128.7
KR,KR ONS,Onsan/Ulsan,Onsan/Ulsan,31,1-------,,35.43333333333333,129.35
